p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.08463513726335e-181	0.48921235709168	0.698	0.217	2.95910158148187e-177	0	rnaseh2a
4.77019909418281e-181	0.439221705002509	0.61	0.161	1.30140571687495e-176	0	lyar
6.84483629571853e-181	0.574877465844815	0.895	0.361	1.86740823819793e-176	0	gspt1l
1.8480949425885e-180	0.594635164248769	0.872	0.334	5.04197262236995e-176	0	asf1ba
3.01742740302467e-180	0.635389700415438	0.956	0.413	8.23214544093191e-176	0	hspb1
4.14020559304441e-180	0.499332113021222	0.708	0.22	1.12953088989438e-175	0	ddx24
1.21250884071432e-179	0.444629007019485	0.59	0.152	3.30796661923681e-175	0	grwd1
4.56324214728684e-178	0.493004583532414	0.77	0.256	1.24494372262279e-173	0	mak16
2.59795486807757e-177	0.476286875999879	0.641	0.183	7.08774047108924e-173	0	esf1
8.03201044596086e-177	0.445770875614546	0.632	0.177	2.19129308986704e-172	0	pes
1.02488147503797e-176	0.538965183854733	0.999	0.77	2.7960816401986e-172	0	snrpd1
2.78499895572648e-176	0.84879431723823	0.961	0.543	7.59803415101298e-172	0	her4.3
5.18547574453786e-176	0.50557935751392	0.729	0.239	1.41470149262482e-171	0	rpl7l1
2.47549558995987e-175	0.537181239301668	1	0.772	6.75364706852852e-171	0	snrpf
3.63594496507415e-175	0.561764867617307	0.911	0.371	9.91958505371529e-171	0	lig1
1.67790959709738e-174	0.448915938392981	0.626	0.176	4.57767296280106e-170	0	gusb
1.73887315860106e-174	0.480061241192413	0.702	0.222	4.74399375129541e-170	0	rfc4
1.94358187761127e-173	0.572474623442407	0.92	0.404	5.30248007849908e-169	0	chrac1
6.8258596549949e-172	0.608799248747227	0.956	0.472	1.86223103107571e-167	0	abcf1
9.70650277539347e-172	0.588212353044737	0.9	0.366	2.64812808718285e-167	0	kiaa0101
2.26897330635825e-171	0.49003154084041	0.753	0.257	6.19021297440657e-167	0	timm8b
3.24292953210321e-170	0.540075828600348	0.9	0.377	8.84736034948399e-166	0	etf1b
6.23627265399839e-170	0.468293772397053	0.759	0.26	1.70137990546384e-165	0	kars
1.66454283671094e-168	0.551027575664485	0.861	0.342	4.5412057671148e-164	0	nasp
3.6336707048544e-168	0.520692085326908	0.737	0.252	9.91338041698378e-164	0	si:dkey-239h2.3
1.71705288971067e-167	0.449461896110437	0.653	0.195	4.68446369370865e-163	0	rsl1d1
1.76077067136649e-167	0.467254106420327	0.736	0.248	4.80373454562205e-163	0	rnaseh2c
2.21461489108279e-167	0.474445439782753	0.745	0.255	6.04191234585206e-163	0	trmt112
2.23734387703767e-166	0.435831939386276	0.609	0.171	6.10392156533416e-162	0	ddx27
1.27936580600957e-164	0.395246138647315	0.572	0.152	3.4903657919553e-160	0	pwp1
2.71415819934902e-164	0.600188263287064	0.691	0.23	7.40476639946398e-160	0	mcm5
1.44138951710556e-163	0.370943414234621	0.378	0.066	3.93239888056739e-159	0	ptgdsb.1
2.17405569249611e-163	0.482004106500654	0.432	0.087	5.93125874026789e-159	0	si:ch211-152c2.3
5.07778500957647e-163	0.562769110446846	0.935	0.412	1.38532130631265e-158	0	si:ch211-212k18.5
1.54437382607493e-162	0.550837985344145	0.861	0.335	4.21336067229761e-158	0	cks1b
1.90607394932095e-162	0.390653200393078	0.621	0.176	5.20015094853741e-158	0	rrs1
2.81127440537235e-162	0.497030808322066	0.829	0.317	7.66971883273683e-158	0	eif1axa
4.36132726612182e-162	0.384992913080807	0.551	0.145	1.18985730474335e-157	0	ctps1a
6.67848872441203e-162	0.361379387931654	0.456	0.098	1.82202529379409e-157	0	RRP8
1.74031718304485e-161	0.614036402591698	0.972	0.521	4.74793333878297e-157	0	nop56
2.86703994149814e-161	0.272752369237165	1	1	7.82185836839523e-157	0	rpl11
4.95016959057981e-161	0.420191014842869	0.603	0.175	1.35050526770198e-156	0	emg1
5.00756249694591e-161	0.388729994227438	0.54	0.14	1.36616320041678e-156	0	tipin
5.04091282222191e-161	0.454854355293591	0.697	0.228	1.37526183615858e-156	0	uhrf1
2.4209530442993e-160	0.639400356943791	0.959	0.487	6.60484409545736e-156	0	mycn
6.22369317209581e-160	0.46720235408654	0.702	0.234	1.69794797121118e-155	0	rbm28
2.00403654337316e-159	0.419996560334108	0.678	0.21	5.46741249763064e-155	0	srm
3.29423987362239e-159	0.472485278748102	0.739	0.254	8.98734522321661e-155	0	spc24
4.54733369297627e-158	0.506488885571579	0.662	0.212	1.24060357811779e-153	0	ccnd2a
6.37630677582475e-158	0.380587200749776	0.552	0.149	1.73958401458051e-153	0	mis12
7.10505023552865e-158	0.557506367394423	0.937	0.448	1.93839980525693e-153	0	lsm3
1.15830934166388e-157	0.602516971490746	1	0.887	3.1600995459274e-153	0	si:ch73-281n10.2
8.73498832096149e-157	0.553526909403344	0.987	0.71	2.38307951372471e-152	0	srsf5a
5.72747721198705e-156	0.455774728225445	0.615	0.188	1.56257033297431e-151	0	esco2
1.3309945190136e-155	0.474879105228596	0.82	0.316	3.63121924677291e-151	0	rbb4l
5.70409554361957e-155	0.401512149465215	0.618	0.183	1.55619134621029e-150	0	bms1
7.62933486555718e-154	0.405881854389952	0.58	0.167	2.08143513802131e-149	0	dnajc9
7.65087283896547e-154	0.477010682556693	0.787	0.294	2.08731112792656e-149	0	pole3
1.14071974391886e-153	0.442131384660005	0.648	0.208	3.11211160535945e-149	0	nop16
1.42957418322417e-153	0.451289682832004	0.659	0.216	3.90016428667219e-149	0	cdca5
1.35786702643179e-152	0.371838185092813	0.505	0.129	3.70453282151121e-148	0	ing5b
3.27256009623897e-151	0.504888292202452	0.548	0.157	8.92819845455916e-147	0	grasp
3.94480347196849e-151	0.34457285138029	0.489	0.12	1.07622128322244e-146	0	utp3
4.24677089790911e-151	0.395916294561378	0.656	0.208	1.15860403636756e-146	0	c1qbp
4.36976945231196e-151	0.370437939656088	0.59	0.17	1.19216050197975e-146	0	polr1d
6.0066362252116e-151	0.571900645254632	0.607	0.185	1.63873049496223e-146	0	si:ch211-226l4.6
8.25457504472367e-151	0.391905953429936	0.522	0.139	2.25201316370151e-146	0	mybbp1a
1.26906455613128e-150	0.479964833390151	0.838	0.335	3.46226192203737e-146	0	rwdd1
1.44481171914741e-150	0.460305085183657	0.746	0.275	3.94173533217796e-146	0	ebna1bp2
3.87505460343063e-150	0.464785459471575	0.761	0.275	1.05719239690795e-145	0	nr2f5
1.73848404137338e-149	0.263775075978554	1	1	4.74293216167486e-145	0	rps2
2.26361649137315e-149	0.487903694775297	0.899	0.373	6.17559851176423e-145	0	ssrp1a
6.37452325266768e-149	0.441117183519748	0.685	0.227	1.7390974337928e-144	0	ddx18
7.95290333146721e-149	0.385509482626073	0.565	0.164	2.16971108689088e-144	0	pola1
2.45194317464845e-148	0.524137594806491	0.92	0.432	6.6893913690759e-144	0	hypk
4.16823561986741e-148	0.498792239993147	0.9	0.389	1.13717804181223e-143	0	rbmx
4.9545189938385e-148	0.390852939672849	0.557	0.158	1.35169187189902e-143	0	twistnb
6.19051572913562e-148	0.383265342105644	0.551	0.155	1.68889650122278e-143	0	smfn
6.72575750420949e-148	0.393642949389286	0.563	0.162	1.83492116229843e-143	0	nudt1
6.91660331546979e-148	0.362831193177042	1	0.982	1.88698771652647e-143	0	hnrnpa0b
2.07448528498866e-147	0.523497618300581	0.951	0.446	5.65961075450606e-143	0	pim1
3.53965332035065e-147	0.467566821024594	0.589	0.177	9.65688218858063e-143	0	cdc6
5.10171999579424e-147	0.348392577852954	0.466	0.114	1.39185124925258e-142	0	pum3
5.70208125863618e-147	0.499460468218057	0.891	0.386	1.55564180898112e-142	0	cdkn2aipnl
9.8059314520094e-147	0.28698490482248	1	0.999	2.67525421873721e-142	0	rpl38
1.75210834438603e-146	0.38864826115715	0.423	0.094	4.78010198515397e-142	0	apela
2.88723246128805e-146	0.480400709597521	0.622	0.204	7.87694760088607e-142	0	cdca7b
6.38981104693093e-146	0.493910784296681	0.671	0.225	1.7432682498237e-141	0	mcm2
1.69741294096038e-145	0.528503446071414	0.863	0.359	4.63088198552812e-141	0	slbp
2.432180224323e-145	0.331988006252143	0.443	0.103	6.635474087998e-141	0	dnph1
4.67553400112349e-145	0.509699776545844	0.929	0.404	1.27557918618651e-140	0	CABZ01074745.1
5.69545846594088e-145	0.466054845856277	0.723	0.257	1.55383497867799e-140	0	mcm4
1.14362501544178e-144	0.360368223418824	0.515	0.139	3.12003776712826e-140	0	chtf8
1.28228373553957e-144	0.527035992348042	0.934	0.421	3.49832648729906e-140	0	zbtb16a
2.30014873285233e-144	0.331414084393268	0.407	0.087	6.27526577296772e-140	0	ppp1r3b
3.79134389602482e-144	0.512126231717335	0.941	0.453	1.03435444171349e-139	0	CU694197.1
3.80309422701299e-144	0.543869813949302	0.99	0.553	1.03756016701368e-139	0	rbbp4
3.72262141865393e-143	0.501866133693816	0.886	0.386	1.01560557543716e-138	0	fzd7a
2.04473563641143e-142	0.382300157243974	0.588	0.177	5.57844776325766e-138	0	rpf2
5.73094652260906e-142	0.39564863510104	0.669	0.225	1.5635168302982e-137	0	eif6
1.31363231704741e-141	0.319815301008811	0.41	0.091	3.58385168736875e-137	0	chaf1b
1.71876671504791e-141	0.321513994163433	0.44	0.103	4.68913935199371e-137	0	noc2l
4.9984647573556e-141	0.421421913776808	0.764	0.283	1.36368115510175e-136	0	rpa1
7.006129486067e-140	0.462903562165193	0.438	0.108	1.9114122463888e-135	0	egfl6.1
7.05414505172055e-140	0.619403709866712	1	0.704	1.9245118530104e-135	0	id1
7.95652023404685e-140	0.628732838856471	0.687	0.247	2.17069785025266e-135	0	cdca7a
1.33077654988585e-139	0.443160243713846	0.763	0.288	3.63062458339857e-135	0	dek
2.012943519745e-138	0.36864692101415	0.567	0.168	5.49171251056831e-134	0	nifk
2.63528686960286e-138	0.441628674197054	1	0.863	7.18958963765052e-134	0	hmgn7
4.06559141562696e-138	0.417088569117165	0.61	0.198	1.10917465001135e-133	0	zbtb16b
7.08132529636071e-138	0.37122624185467	0.558	0.165	1.93192716735313e-133	0	serpinh1a
9.45193960174857e-138	0.382808494309728	0.575	0.172	2.57867816214904e-133	0	pho
1.73802325992221e-137	0.319507175737583	0.466	0.118	4.74167505771976e-133	0	nip7
2.05804510735697e-137	0.429970727820973	0.593	0.182	5.61475866189128e-133	0	foxb1a
2.25971221297566e-136	0.343384900733763	0.473	0.125	6.16494685944019e-132	0	wdr12
